TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2018-03-28 17:30:49.552,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,880.40295,855.0183,857.4359,883.6264,840.10986,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.554,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,884.83514,852.6007,859.0476,877.5824,814.7253,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.556,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,852.1978,852.6007,859.45056,853.8095,844.1392,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.558,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,846.9597,855.42126,857.4359,849.7802,871.53845,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.560,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,853.4066,854.61536,858.6447,863.0769,825.2015,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.561,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,871.53845,850.58606,861.8681,883.22345,822.7839,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.563,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,883.22345,852.1978,860.65936,880,867.9121,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.564,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,859.0476,855.42126,857.4359,853.00366,848.5714,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.565,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,848.5714,855.42126,856.63007,848.1685,844.1392,-0.08880615234375,0.12030029296875,0.9964599609375,0.306549072265625,2.08602905273437,2.930908203125,1,1,1,1,1,41.25,
2018-03-28 17:30:49.568,0.70783633,0.57793057,-0.024652088,0.843338,0.14293194,-0.33139187,-0.46275964,0.3351874,0.49223804,-0.26441175,-0.37747395,0.5812739,0.29504183,-0.48589867,-0.32227466,0.43033567,-0.015254733,-0.72340167,-0.7265103,0.27405995,849.3773,856.2271,855.0183,852.1978,893.69965,-0.084716796875,0.11993408203125,0.992431640625,-0.456085205078125,2.38510131835937,3.50662231445312,1,1,1,1,1,41.25,
